#ID,Name,Likelihood Of Attack,Typical Severity,Prerequisites,Mitigations
101,"Server Side Include (SSI) Injection",Medium,High,"user input can carry directives to web server",""
193,"PHP Remote File Inclusion",Medium,Medium,"attacker has ability to make http request to web application",""
500,"WebView Injection",Low,High,"attacker able to install malicious application onto device and convince user to execute it",""
610,"Cellular Data Injection",Low,Low,"none",""
19,"Embedding Scripts within Scripts",Medium,High,"target able to execute scripts",""
468,"Generic Cross-Browser Cross-Domain Theft",Medium,High,"no new lines present in injected css",""
588,"DOM-Based XSS",Medium,Medium,"target fails to sanitaze input;target manipulates DOM via client-side scripting",""
591,"Reflected XSS",Medium,Medium,"target fails to sanitaze input;target has scripting enabled",""
228,"DTD Injection",Medium,High,"target runs xml based application",""
83,"XPath Injection",Low,High,"xpath queries stored in xml documents",""
84,"XQuery Injection",Low,Medium,"xql must execute unvalidated data",""
88,"OS Command Injection",Low,High,"none",""
550,"Install New Service",Medium,High,"none",""
551,"Modify Existing Service",Medium,High,"none",""
552,"Install Rootkit",Medium,High,"none",""
564,"Run Software at Logon",High,High,"none",""
586,"Object Injection",Medium,Medium,"target must unserialize data before validation",""
596,"TCP RST Injection",Low,Medium,"on in path device",""
540,"Overread Buffers",Medium,Medium,"software written in language with fine grained buffer control;attacker able to influence input that guides buffer opperations",""
10,"Buffer Overflow via Environment Variables",Low,High,"application uses environment valiables;enviroment variable uses untrusted data",""
256,"SOAP Array Overflow",Medium,Medium,"targeted server must trust array size",""
67,"String Format Overflow in syslog()",Low,High,"format string argument can be tainted with user supplied data",""
124,"Shared Resource Manipulation",Medium,High,"attacker able to manipulate shared resources",""
129,"Pointer Manipulation",Low,Medium,"target must have pointer variable",""
139,"Relative Path Traversal",Low,High,"target must accept string as user input"
597,"Absolute Path Traversal",Low,High,"target must access underlying file system",""
92,"Forced Integer Overflow",Medium,Medium,"attacker can manipulate value of an integer utilized by host",""
72,"URL Encoding",Low,Medium,"target accepts and decodes url input",""
78,"Using Escaped Slashes in Alternate Encoding",Medium,High,"target accepts backslash characters as escape character"
52,"Embedding NULL Bytes",Low,Low,"target does not properly handle null terminators",""
!,"Dangerous Attack2",Medium,High,"test;second",""
!,"Dangerous Attack2",High,Medium,"prvi;drugi;treci",""
!,"Inject new",Low,Low,"asd;test;hey",""
!,"name of attack 2",Low,Low,"asd;test;hey",""
!,"New attack",Low,Low,"test;test",""
